station_abbr;reference_timestamp;rhs150m0;rh9120mv;rhs001m0
BRI;01.10.1999 00:00;17.1;27;4
BRI;01.11.1999 00:00;40.5;51;8
BRI;01.12.1999 00:00;118.1;162;11
BRI;01.01.2000 00:00;29.8;44;3
BRI;01.02.2000 00:00;50.9;107;9
BRI;01.03.2000 00:00;31;63;5
BRI;01.04.2000 00:00;103.6;192;8
BRI;01.05.2000 00:00;20.2;28;5
BRI;01.06.2000 00:00;94.3;161;8
BRI;01.07.2000 00:00;67.6;132;12
BRI;01.08.2000 00:00;33.4;59;7
BRI;01.09.2000 00:00;118.3;276;5
BRI;01.10.2000 00:00;197.2;317;9
BRI;01.11.2000 00:00;133;168;9
BRI;01.12.2000 00:00;7.4;10;2
BRI;01.01.2001 00:00;24;36;6
BRI;01.02.2001 00:00;46.5;97;3
BRI;01.03.2001 00:00;88.7;180;13
BRI;01.04.2001 00:00;88;163;7
BRI;01.05.2001 00:00;31;43;5
BRI;01.06.2001 00:00;78.8;134;9
BRI;01.07.2001 00:00;61.5;120;7
BRI;01.08.2001 00:00;40;70;8
BRI;01.09.2001 00:00;24.5;57;8
BRI;01.10.2001 00:00;23.5;38;4
BRI;01.11.2001 00:00;8.5;11;3
BRI;01.12.2001 00:00;60.5;83;5
BRI;01.01.2002 00:00;15.7;23;1
BRI;01.02.2002 00:00;77;161;11
BRI;01.03.2002 00:00;77.3;157;6
BRI;01.04.2002 00:00;15.1;28;3
BRI;01.05.2002 00:00;255.6;353;11
BRI;01.06.2002 00:00;116.6;199;7
BRI;01.07.2002 00:00;95;185;11
BRI;01.08.2002 00:00;86;151;9
BRI;01.09.2002 00:00;28.5;67;7
BRI;01.10.2002 00:00;41.4;66;7
BRI;01.11.2002 00:00;300.1;378;16
BRI;01.12.2002 00:00;73.4;100;9
BRI;01.01.2003 00:00;70.4;104;10
BRI;01.02.2003 00:00;30.5;64;2
BRI;01.03.2003 00:00;5.1;10;2
BRI;01.04.2003 00:00;8.6;16;2
BRI;01.05.2003 00:00;23.9;33;5
BRI;01.06.2003 00:00;42.9;73;8
BRI;01.07.2003 00:00;25;49;4
BRI;01.08.2003 00:00;29.1;51;8
BRI;01.09.2003 00:00;13.8;32;4
BRI;01.10.2003 00:00;28.8;46;6
BRI;01.11.2003 00:00;40.6;51;
BRI;01.12.2003 00:00;18.6;25;4
BRI;01.01.2004 00:00;177.4;263;12
BRI;01.02.2004 00:00;9.8;21;4
BRI;01.03.2004 00:00;7;14;3
BRI;01.04.2004 00:00;31.3;58;7
BRI;01.05.2004 00:00;17.7;24;5
BRI;01.06.2004 00:00;50.3;86;6
BRI;01.07.2004 00:00;28.5;55;6
BRI;01.08.2004 00:00;64.3;113;10
BRI;01.09.2004 00:00;10.3;24;2
BRI;01.10.2004 00:00;56.2;90;7
BRI;01.11.2004 00:00;99.8;126;6
BRI;01.12.2004 00:00;31.8;44;5
BRI;01.01.2005 00:00;68.7;102;6
BRI;01.02.2005 00:00;29.6;62;4
BRI;01.03.2005 00:00;27.5;56;6
BRI;01.04.2005 00:00;44.3;82;7
BRI;01.05.2005 00:00;34;47;6
BRI;01.06.2005 00:00;53.1;90;7
BRI;01.07.2005 00:00;42;82;7
BRI;01.08.2005 00:00;138.7;244;9
BRI;01.09.2005 00:00;40.3;94;3
BRI;01.10.2005 00:00;54.4;87;3
BRI;01.11.2005 00:00;6.8;9;3
BRI;01.12.2005 00:00;60;82;6
BRI;01.01.2006 00:00;14.6;22;2
BRI;01.02.2006 00:00;79.1;166;4
BRI;01.03.2006 00:00;131.2;266;7
BRI;01.04.2006 00:00;33.9;63;6
BRI;01.05.2006 00:00;71.8;99;9
BRI;01.06.2006 00:00;35.5;60;5
BRI;01.07.2006 00:00;45.5;89;8
BRI;01.08.2006 00:00;44.1;78;7
BRI;01.09.2006 00:00;21.5;50;3
BRI;01.10.2006 00:00;18.8;30;4
BRI;01.11.2006 00:00;15.7;20;3
BRI;01.12.2006 00:00;65;89;4
BRI;01.01.2007 00:00;65;96;5
BRI;01.02.2007 00:00;54.2;114;7
BRI;01.03.2007 00:00;68.3;139;5
BRI;01.04.2007 00:00;0.8;1;0
BRI;01.05.2007 00:00;154.2;213;11
BRI;01.06.2007 00:00;81.9;140;7
BRI;01.07.2007 00:00;57.8;112;9
BRI;01.08.2007 00:00;118.6;208;6
BRI;01.09.2007 00:00;34.2;80;5
BRI;01.10.2007 00:00;5;8;2
BRI;01.11.2007 00:00;48.4;61;4
BRI;01.12.2007 00:00;100.4;137;9
BRI;01.01.2008 00:00;88.9;132;11
BRI;01.02.2008 00:00;3.6;8;1
BRI;01.03.2008 00:00;42.9;87;4
BRI;01.04.2008 00:00;39;72;8
BRI;01.05.2008 00:00;77.7;107;5
BRI;01.06.2008 00:00;42.6;73;9
BRI;01.07.2008 00:00;104.5;203;11
BRI;01.08.2008 00:00;61.7;108;9
BRI;01.09.2008 00:00;81;189;10
BRI;01.10.2008 00:00;72.3;116;6
BRI;01.11.2008 00:00;145.5;183;12
BRI;01.12.2008 00:00;39.1;53;12
BRI;01.01.2009 00:00;30.5;45;4
BRI;01.02.2009 00:00;53.5;112;8
BRI;01.03.2009 00:00;75.9;154;9
BRI;01.04.2009 00:00;173.4;322;5
BRI;01.05.2009 00:00;19.3;27;3
BRI;01.06.2009 00:00;41;70;9
