"year_month","observed","trend","seasonal","deterministic","stochastic"
Jan 1992,-10,-7.39817924437276,-5.54146260823037,-12.9396418526031,2.93964185260313
Feb 1992,-12.3,-7.39419730794224,-6.19232771411239,-13.5865250220546,1.28652502205463
Mar 1992,-12.6,-7.39021537151171,-5.12442786287787,-12.5146432343896,-0.0853567656104257
Apr 1992,-9.9,-7.38623343508119,-3.34803202244625,-10.7342654575274,0.834265457527435
May 1992,-4.3,-7.38225149865066,1.55392736865135,-5.82832412999931,1.52832412999931
Jun 1992,-3.5,-7.37826956222013,4.39819062970932,-2.98007893251081,-0.519921067489189
Jul 1992,0.7,-7.37428762578961,7.12614063441805,-0.248146991371557,0.948146991371557
Aug 1992,2.2,-7.37030568935909,7.28243646632719,-0.0878692230318991,2.2878692230319
Sep 1992,-2.5,-7.36632375292855,4.59748420031786,-2.76883955261069,0.268839552610692
Oct 1992,-8.1,-7.36234181649803,2.11054289439813,-5.2517989220999,-2.8482010779001
Nov 1992,-7.2,-7.35835988006751,-2.52393965213475,-9.88229953220226,2.68229953220226
Dec 1992,-9.3,-7.35437794363698,-4.42393501508279,-11.7783129587198,2.47831295871977
Jan 1993,-9.6,-7.35039600720646,-5.49080336637811,-12.8411993735846,3.24119937358456
Feb 1993,-12.9,-7.34641407077593,-6.21570228868596,-13.5621163594619,0.662116359461894
Mar 1993,-12.7,-7.3424321343454,-5.11342366729573,-12.4558558016411,-0.244144198358871
Apr 1993,-9.9,-7.33845019791488,-3.3288633092337,-10.6673135071486,0.767313507148577
May 1993,-4.9,-7.33446826148436,1.6148238961414,-5.71964436534295,0.819644365342954
Jun 1993,-1.7,-7.33048632505383,4.45161986519865,-2.87886645985518,1.17886645985518
Jul 1993,-1.4,-7.3265043886233,7.11247976390217,-0.214024624721138,-1.18597537527886
Aug 1993,0.3,-7.32252245219278,7.29748496606211,-0.0250374861306728,0.325037486130673
Sep 1993,-4.3,-7.31854051576225,4.53130527576429,-2.78723523999796,-1.51276476000204
Oct 1993,-6.8,-7.31455857933173,2.09129811829611,-5.22326046103562,-1.57673953896438
Nov 1993,-10.5,-7.3105766429012,-2.58087999901007,-9.89145664191127,-0.608543358088728
Dec 1993,-11.9,-7.30659470647067,-4.45790974330486,-11.7645044497755,-0.135495550224466
Jan 1994,-13.3,-7.30261277004015,-5.46014619674132,-12.7627589667815,-0.537241033218526
Feb 1994,-14,-7.29863083360963,-6.22653908164652,-13.5251699152561,-0.47483008474385
Mar 1994,-9.1,-7.2946488971791,-5.09659950855096,-12.3912484057301,3.29124840573006
Apr 1994,-11.5,-7.29066696074857,-3.29381732725408,-10.5844842880027,-0.915515711997344
May 1994,-4.8,-7.28668502431805,1.66223998210272,-5.62444504221533,0.82444504221533
Jun 1994,-2.2,-7.28270308788752,4.52809443962426,-2.75460864826326,0.554608648263264
Jul 1994,2,-7.278721151457,7.08937745408122,-0.189343697375783,2.18934369737578
Aug 1994,1.2,-7.27473921502648,7.28892144612338,0.0141822310969024,1.1858177689031
Sep 1994,-3,-7.27075727859594,4.48014607450779,-2.79061120408816,-0.209388795911844
Oct 1994,-5.2,-7.26677534216542,2.08288860887188,-5.18388673329354,-0.0161132667064612
